Design Sequence,Sequence,Link Name,URL,Group,Subgroup
1,18,ARIS - Practitioner Access - Logging In,https://charmswiki.com/wiki/199/aris-practitioner-access-logging-in,Platform & Access,Authentication & Access
2,21,Carer Login - 2 Factor Authentication,https://charmswiki.com/wiki/400/carer-login-2-factor-authentication,Platform & Access,Authentication & Access
3,22,Carer Login - Carer Logs,https://charmswiki.com/wiki/171/carer-login-carer-logs,Platform & Access,Authentication & Access
4,23,Carer Login - Carer Record,https://charmswiki.com/wiki/249/carer-login-carer-record,Platform & Access,Authentication & Access
5,24,Carer Login - Chat Facility,https://charmswiki.com/wiki/343/carer-login-chat-facility,Platform & Access,Authentication & Access
6,25,Carer Login - Child Record,https://charmswiki.com/wiki/4/carer-login-child-record,Platform & Access,Authentication & Access
7,26,Carer Login - Downloads,https://charmswiki.com/wiki/5/carer-login-downloads,Platform & Access,Authentication & Access
8,27,Carer Login - Form F,https://charmswiki.com/wiki/6/carer-login-form-f,Platform & Access,Authentication & Access
9,28,Carer Login - Main Menu,https://charmswiki.com/wiki/3/carer-login-main-menu,Platform & Access,Authentication & Access
10,29,Carer Login - PAR,https://charmswiki.com/wiki/7/carer-login-par,Platform & Access,Authentication & Access
11,30,Carer Login - Remittances,https://charmswiki.com/wiki/250/carer-login-remittances,Platform & Access,Authentication & Access
12,31,Carer Login - Setup,https://charmswiki.com/wiki/1/carer-login-setup,Platform & Access,Authentication & Access
13,57,Charms-Pay - Logging In,https://charmswiki.com/wiki/264/charms-pay-logging-in,Platform & Access,Authentication & Access
14,74,Charms-Portal - Logging In,https://charmswiki.com/wiki/126/charms-portal-logging-in,Platform & Access,Authentication & Access
15,153,Logging In,https://charmswiki.com/wiki/51/logging-in,Platform & Access,Authentication & Access
16,154,Logging in - Resetting Passwords,https://charmswiki.com/wiki/147/logging-in-resetting-passwords,Platform & Access,Authentication & Access
17,1,Login,https://charmswiki.com/user/login?returnurl=%2fpages%2fallpages,Platform & Access,Authentication & Access
18,312,Other Options - Training - Self Enrolment for Staff and Carer Login,https://charmswiki.com/wiki/221/other-options-training-self-enrolment-for-staff-and-carer-login,Platform & Access,Authentication & Access
19,316,Panel Member Login,https://charmswiki.com/wiki/49/panel-member-login,Platform & Access,Authentication & Access
20,351,Settings - Administer All Accounts - Resetting a user’s password or passphrase,https://charmswiki.com/wiki/108/settings-administer-all-accounts-resetting-a-users-password-or-passphrase,Platform & Access,Authentication & Access
21,379,Staff Hub - Registration and Logging in,https://charmswiki.com/wiki/251/staff-hub-registration-and-logging-in,Platform & Access,Authentication & Access
22,19,ARIS - Practitioner Access - Main Menu,https://charmswiki.com/wiki/196/aris-practitioner-access-main-menu,Platform & Access,Navigation & UI
23,3,Categories,https://charmswiki.com/pages/alltags,Platform & Access,Navigation & UI
24,48,Charms-Pay - Child Search,https://charmswiki.com/wiki/266/charms-pay-child-search,Platform & Access,Navigation & UI
25,59,Charms-Pay - Main Menu,https://charmswiki.com/wiki/167/charms-pay-main-menu,Platform & Access,Navigation & UI
26,70,Charms-Portal - Charms Live Search,https://charmswiki.com/wiki/127/charms-portal-charms-live-search,Platform & Access,Navigation & UI
27,77,Charms-Portal - Record Card,https://charmswiki.com/wiki/260/charms-portal-record-card,Platform & Access,Navigation & UI
28,156,Main Menu - My Account,https://charmswiki.com/wiki/223/main-menu-my-account,Platform & Access,Navigation & UI
29,157,Main Menu - Notice Board,https://charmswiki.com/wiki/406/main-menu-notice-board,Platform & Access,Navigation & UI
30,158,Main Menu - Overview,https://charmswiki.com/wiki/362/main-menu-overview,Platform & Access,Navigation & UI
31,159,Main Menu - Reports - Vacancy List,https://charmswiki.com/wiki/369/main-menu-reports-vacancy-list,Platform & Access,Navigation & UI
32,2,Main Page,https://charmswiki.com/,Platform & Access,Navigation & UI
33,160,Mini Record Card,https://charmswiki.com/wiki/297/mini-record-card,Platform & Access,Navigation & UI
34,187,Modify Child - Record Card,https://charmswiki.com/wiki/62/modify-child-record-card,Platform & Access,Navigation & UI
35,201,Modify Establishment - Record Card,https://charmswiki.com/wiki/178/modify-establishment-record-card,Platform & Access,Navigation & UI
36,229,Modify Family - Record Card,https://charmswiki.com/wiki/91/modify-family-record-card,Platform & Access,Navigation & UI
37,281,Options - Outcomes Tracker - Home,https://charmswiki.com/wiki/376/options-outcomes-tracker-home,Platform & Access,Navigation & UI
38,288,Options - Training - Course Search and Settings,https://charmswiki.com/wiki/45/options-training-course-search-and-settings,Platform & Access,Navigation & UI
39,302,Other Options - Enquiries - Record Card,https://charmswiki.com/wiki/13/other-options-enquiries-record-card,Platform & Access,Navigation & UI
40,310,Other Options - Postcode Search,https://charmswiki.com/wiki/111/other-options-postcode-search,Platform & Access,Navigation & UI
41,335,Progress Tags,https://charmswiki.com/wiki/415/progress-tags,Platform & Access,Navigation & UI
42,340,Reports - My Reports - Search Reports,https://charmswiki.com/wiki/201/reports-my-reports-search-reports,Platform & Access,Navigation & UI
43,362,Settings - Record Card Settings,https://charmswiki.com/wiki/184/settings-record-card-settings,Platform & Access,Navigation & UI
44,375,Staff / Others - Record Card,https://charmswiki.com/wiki/262/staff-others-record-card,Platform & Access,Navigation & UI
45,376,Staff / Others - Search and Setup,https://charmswiki.com/wiki/42/staff-others-search-and-setup,Platform & Access,Navigation & UI
46,20,ARIS - Practitioner Access - Setup,https://charmswiki.com/wiki/200/aris-practitioner-access-setup,Tenant & System Administration,"Users, Roles & Configuration"
47,50,Charms-Pay - How to Disable a User Account,https://charmswiki.com/wiki/328/charms-pay-how-to-disable-a-user-account,Tenant & System Administration,"Users, Roles & Configuration"
48,61,Charms-Pay - System Settings,https://charmswiki.com/wiki/286/charms-pay-system-settings,Tenant & System Administration,"Users, Roles & Configuration"
49,81,Charms-Portal - User Account Details,https://charmswiki.com/wiki/130/charms-portal-user-account-details,Tenant & System Administration,"Users, Roles & Configuration"
50,190,Modify Child - Social Worker,https://charmswiki.com/wiki/58/modify-child-social-worker,Tenant & System Administration,"Users, Roles & Configuration"
51,217,Modify Family - Main Details - User Registration,https://charmswiki.com/wiki/382/modify-family-main-details-user-registration,Tenant & System Administration,"Users, Roles & Configuration"
52,232,Modify Family - Social Worker,https://charmswiki.com/wiki/92/modify-family-social-worker,Tenant & System Administration,"Users, Roles & Configuration"
53,235,Modify Records - Manage User Access,https://charmswiki.com/wiki/305/modify-records-manage-user-access,Tenant & System Administration,"Users, Roles & Configuration"
54,283,Options - Outcomes Tracker - Settings,https://charmswiki.com/wiki/379/options-outcomes-tracker-settings,Tenant & System Administration,"Users, Roles & Configuration"
55,338,Reports - Admin Reports,https://charmswiki.com/wiki/325/reports-admin-reports,Tenant & System Administration,"Users, Roles & Configuration"
56,347,Settings - Administer All Accounts - Account Details,https://charmswiki.com/wiki/311/settings-administer-all-accounts-account-details,Tenant & System Administration,"Users, Roles & Configuration"
57,348,Settings - Administer All Accounts - Account Details - Permissions/Groups,https://charmswiki.com/wiki/104/settings-administer-all-accounts-account-details-permissionsgroups,Tenant & System Administration,"Users, Roles & Configuration"
58,349,Settings - Administer All Accounts - Add User (Account Set Up),https://charmswiki.com/wiki/103/settings-administer-all-accounts-add-user-account-set-up,Tenant & System Administration,"Users, Roles & Configuration"
59,350,Settings - Administer All Accounts - Online Users,https://charmswiki.com/wiki/107/settings-administer-all-accounts-online-users,Tenant & System Administration,"Users, Roles & Configuration"
60,352,Settings - Administer All Accounts - User Log,https://charmswiki.com/wiki/106/settings-administer-all-accounts-user-log,Tenant & System Administration,"Users, Roles & Configuration"
61,353,Settings - Administer All Accounts - User Main Details - User Roles,https://charmswiki.com/wiki/402/settings-administer-all-accounts-user-main-details-user-roles,Tenant & System Administration,"Users, Roles & Configuration"
62,354,Settings - Administer All Accounts - User Restrictions,https://charmswiki.com/wiki/105/settings-administer-all-accounts-user-restrictions,Tenant & System Administration,"Users, Roles & Configuration"
63,355,Settings - Assessment Checklist Setup,https://charmswiki.com/wiki/303/settings-assessment-checklist-setup,Tenant & System Administration,"Users, Roles & Configuration"
64,356,Settings - Audit Log,https://charmswiki.com/wiki/366/settings-audit-log,Tenant & System Administration,"Users, Roles & Configuration"
65,360,Settings - Manage Links,https://charmswiki.com/wiki/134/settings-manage-links,Tenant & System Administration,"Users, Roles & Configuration"
66,361,Settings - Manage Theme,https://charmswiki.com/wiki/102/settings-manage-theme,Tenant & System Administration,"Users, Roles & Configuration"
