"id","pipeline_id","run_id","run_env","cost_center","store_code","from_date","to_date","orders_pulled_at","sales_pulled_at","status","attempt_no","error_message","created_at","updated_at","primary_rows_downloaded","primary_rows_ingested","primary_staging_rows","primary_staging_inserted","primary_staging_updated","primary_final_inserted","primary_final_updated","secondary_rows_downloaded","secondary_rows_ingested","secondary_staging_rows","secondary_staging_inserted","secondary_staging_updated","secondary_final_inserted","secondary_final_updated"
2,7,"20260115_183345973931_UC567_001_attempt1","dev","SC3567","UC567","2025-02-09","2025-05-09","2026-01-16 00:05:17.171465+05:30",NULL,"success",1,NULL,"2026-01-16 00:03:47.635426+05:30","2026-01-16 00:05:21.562458+05:30",277,277,277,277,0,277,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,6,"20260115_183345973931_A668_003","dev","UN3668","A668","2025-08-23","2025-11-20","2026-01-16 00:15:57.287394+05:30","2026-01-16 00:17:54.005272+05:30","success",1,NULL,"2026-01-16 00:13:30.920712+05:30","2026-01-16 00:17:59.875728+05:30",625,625,625,616,9,616,9,649,649,649,638,11,638,11
11,6,"20260115_183345973931_A817_003","dev","KN3817","A817","2025-11-02","2026-01-16","2026-01-16 00:15:57.188377+05:30","2026-01-16 00:17:53.108432+05:30","success",1,NULL,"2026-01-16 00:13:30.8306+05:30","2026-01-16 00:17:59.939753+05:30",604,604,604,590,14,590,14,772,772,772,771,1,771,1
4,7,"20260115_183345973931_UC567_002_attempt1","dev","SC3567","UC567","2025-05-08","2025-08-05","2026-01-16 00:06:59.413023+05:30",NULL,"success",1,NULL,"2026-01-16 00:05:32.032065+05:30","2026-01-16 00:07:03.64206+05:30",271,271,271,263,7,263,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,6,"20260115_183345973931_A668_004","dev","UN3668","A668","2025-11-19","2026-01-16","2026-01-16 00:20:42.662032+05:30",NULL,"partial",1,"Orders ingested: staging=496, final=496 (warnings: 1 warning(s) (samples: Invalid phone number dropped: A668--7051)); Sales issue: Sales Download Historical Report control not visible inside iframe; Sales Download Historical Report control not visible inside iframe; Orders ingested: staging=496, final=496 (warnings: 1 warning(s) (samples: Invalid phone number dropped: A668--7051)); Sales issue: Sales Download Historical Report control not visible inside iframe","2026-01-16 00:18:17.302879+05:30","2026-01-16 00:23:53.216593+05:30",496,496,496,473,23,473,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,6,"20260115_183345973931_A817_001","dev","KN3817","A817","2025-05-10","2025-08-07","2026-01-16 00:06:15.742126+05:30","2026-01-16 00:08:15.992281+05:30","success",1,NULL,"2026-01-16 00:03:47.637932+05:30","2026-01-16 00:08:19.041073+05:30",413,413,413,413,0,413,0,338,338,338,338,0,338,0
3,6,"20260115_183345973931_A668_001","dev","UN3668","A668","2025-02-28","2025-05-28","2026-01-16 00:06:15.178361+05:30","2026-01-16 00:08:15.578104+05:30","success",1,NULL,"2026-01-16 00:03:47.645749+05:30","2026-01-16 00:08:19.189481+05:30",450,450,450,450,0,450,0,369,369,369,369,0,369,0
5,7,"20260115_183345973931_UC567_003_attempt1","dev","SC3567","UC567","2025-08-04","2025-11-01","2026-01-16 00:08:48.258622+05:30",NULL,"success_with_warnings",1,NULL,"2026-01-16 00:07:14.26767+05:30","2026-01-16 00:08:54.041357+05:30",307,307,307,305,2,305,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,7,"20260115_183345973931_UC567_004_attempt1","dev","SC3567","UC567","2025-10-31","2026-01-16","2026-01-16 00:10:27.809375+05:30",NULL,"success_with_warnings",1,NULL,"2026-01-16 00:09:03.763878+05:30","2026-01-16 00:10:32.970179+05:30",308,308,308,297,11,297,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,7,"20260115_183345973931_UC610_001_attempt1","dev","SL1610","UC610","2025-05-11","2025-08-08","2026-01-16 00:12:10.476313+05:30",NULL,"success",1,NULL,"2026-01-16 00:10:43.508131+05:30","2026-01-16 00:12:13.836523+05:30",188,188,188,188,0,188,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,6,"20260115_183345973931_A817_002","dev","KN3817","A817","2025-08-06","2025-11-03","2026-01-16 00:11:13.594654+05:30","2026-01-16 00:13:07.345135+05:30","success",1,NULL,"2026-01-16 00:08:36.852526+05:30","2026-01-16 00:13:11.254634+05:30",471,471,471,468,3,468,3,420,420,420,396,24,396,24
7,6,"20260115_183345973931_A668_002","dev","UN3668","A668","2025-05-27","2025-08-24","2026-01-16 00:11:13.076574+05:30","2026-01-16 00:13:07.266425+05:30","success",1,NULL,"2026-01-16 00:08:37.529137+05:30","2026-01-16 00:13:12.185837+05:30",520,520,520,511,9,511,9,564,564,564,561,3,561,3
10,7,"20260115_183345973931_UC610_002_attempt1","dev","SL1610","UC610","2025-08-07","2025-11-04","2026-01-16 00:13:52.674936+05:30",NULL,"success_with_warnings",1,NULL,"2026-01-16 00:12:24.262359+05:30","2026-01-16 00:13:56.188813+05:30",248,248,248,246,2,246,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,7,"20260115_183345973931_UC610_003_attempt1","dev","SL1610","UC610","2025-11-03","2026-01-16","2026-01-16 00:15:29.358646+05:30",NULL,"success",1,NULL,"2026-01-16 00:14:05.978539+05:30","2026-01-16 00:15:33.34181+05:30",252,252,252,248,4,248,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
