wagidsheikh@Wagids-MacBook-Pro simplify_downloader % log show --style syslog --info \
  --start "2026-01-28 15:45:00" --end "2026-01-28 21:15:00" \
  --predicate '(process == "cron") OR (eventMessage CONTAINS[c] "CRON")'

Filtering the log data using "process == "cron" OR composedMessage CONTAINS[c] "CRON""
Skipping debug messages, pass --debug to include.
Timestamp                       (process)[PID]
2026-01-28 16:00:00.606788+0530  localhost cron[10751]: (libsystem_info.dylib) Created Activity ID: 0x1e62c20, Description: Retrieve User by Name
2026-01-28 16:00:00.649960+0530  localhost cron[10751]: (libsystem_info.dylib) Created Activity ID: 0x1e62c21, Description: Retrieve User by Name
2026-01-28 16:00:00.650397+0530  localhost cron[10751]: (libsystem_info.dylib) Created Activity ID: 0x1e62c22, Description: Resolve user group list
2026-01-28 16:00:07.635773+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10771.1, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10771, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:07.756575+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10772.1, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10772, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:07.798737+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10771.1, subject=/usr/sbin/cron,
2026-01-28 16:00:07.801485+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_SUBJECT: msgID=10772.1, subject=/usr/sbin/cron,
2026-01-28 16:00:07.803564+0530  localhost tccd[154]: [com.apple.TCC:access] -[TCCDAccessIdentity staticCode]: static code for: identifier /usr/sbin/cron, type: 1: 0x7fe14340c4a0 at /usr/sbin/cron
2026-01-28 16:00:07.807304+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10778.1, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10778, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
2026-01-28 16:00:07.807880+0530  localhost tccd[154]: [com.apple.TCC:access] AUTHREQ_ATTRIBUTION: msgID=10777.1, attribution={responsible={identifier=com.apple.cron, pid=77077, auid=0, euid=0, responsible_path=/usr/sbin/cron, binary_path=/usr/sbin/cron}, requesting={identifier=com.google.Chrome, pid=10777, auid=501, euid=501, binary_path=/Applications/Google Chrome.app/Contents/MacOS/Google Chrome}, },
