launch_date,store_code,store_name,total_order,page,row_index,,ETL_Flag,Near to
,TS0,Testing Store,724,1,3,,,
31/10/25,A814,Rani Bazar Bikaner,26,1,4,,,
28/09/25,A885,Nokha Bikaner,209,1,6,,,
30/09/25,A917,Gandhi Nagar,157,1,8,,,
31/10/25,C021,Gajraula UP,120,1,10,,,
11/09/25,A764,Sarkanda Bilaspur,174,1,12,,,
05/09/25,A867,Ambikapur 2,226,1,14,,,
21/08/25,A825,Panipat 2 Haryana,119,1,16,,,
13/10/25,A944,Narnaul Haryana,124,1,18,,,
10/10/25,A982,Bhiwani Haryana,173,1,20,,,
26/12/23,A018,Mumbai Byculla,221,1,22,,,
15/01/24,A019,Chattisgarh,465,1,24,,,
08/01/24,A022,Kullu Bhuntar,234,1,26,,,
19/04/24,A032,Kolkata South,256,1,28,,,
24/01/24,A038,Vrindavan UP,207,1,30,,,
23/12/23,A040,New Gurgaon,260,1,32,,,
05/03/24,A055,Ranchi Booty More,199,1,34,,,
15/04/24,A061,Raipur Telibandha,258,1,36,,,
30/07/24,A066,Dhanbad Dhaiya,308,1,38,,,
14/03/24,A117,Patna Sipara,174,1,40,,,
30/10/24,A124,Daltonganj,248,1,42,,,
10/05/24,A138,Jamshedpur,235,1,44,,,
25/04/24,A139,Ranchi Pandra,327,1,46,,,
22/03/24,A142,Delhi Vijay Nagar,323,1,48,Valid,TRUE,Vishal Home
27/05/24,A154,Ambala Sector,312,1,50,,,
13/04/24,A164,Jamshedpur Mango,231,2,3,,,
21/05/24,A171,Patna Mainpura,166,2,5,,,
15/05/24,A174,Agra Paliwal Park,142,2,7,,,
13/08/24,A183,Ramgarh,213,2,9,,,
27/04/24,A186,Patna Doctor Colony,237,2,11,,,
21/05/24,A251,Jammu Talab,144,2,13,,,
07/11/24,A340,Pakur Jharkhand,152,2,15,,,
31/07/24,A353,Godda Nahar,236,2,17,,,
14/11/24,A450,Sehore Madhya,177,2,19,,,
28/01/25,A476,Jugsalai,277,2,21,,,
21/01/25,A542,Sahibganj Jharkhand,185,2,23,,,
10/05/25,B015,Nolambur Chennai,41,2,25,,,
17/04/21,T108,Tumbledry KPHB,138,2,27,,,
07/10/21,T157,Tumbledry SGPGI,185,2,29,,,
31/05/25,T159,Begumpet,138,2,31,,,
12/12/21,T168,Tumbledry Munger,327,2,33,,,
13/05/22,T176,Khagaria Bihar,179,2,35,,,
31/10/21,T186,Tumbledry,54,2,37,,,
17/06/22,T254,Ramavarapadu,87,2,39,,,
28/06/22,T255,Manish Nagar,58,2,41,,,
04/06/22,T263,Yelahanka 2,141,2,43,,,
16/06/22,T264,Pathankot Punjab,82,2,45,,,
22/04/23,T304,Jalgaon Maharashtra,153,2,47,,,
31/08/22,T310,Butibori Nagpur,86,2,49,,,
25/08/22,T315,Anisabad Patna,184,2,51,,,
17/08/22,T326,MDC Manimajra,113,2,53,,,
31/07/22,T328,Satellite 2,84,3,2,,,
22/10/22,T365,Padrauna,277,3,4,,,
11/12/23,T391,Rajarampuri,72,3,6,,,
22/11/22,T396,Barpeta Road,109,3,8,,,
21/10/22,T397,Old Ranipur Mode,290,3,10,,,
30/11/22,T424,Udaipur Tripura,143,3,12,,,
13/11/22,T436,Ausa Road Latur,239,3,14,,,
22/11/22,T446,Vijay Nagar Indore,74,3,16,,,
21/11/22,T464,Silchar Assam,181,3,18,,,
19/01/23,T492,Jalahalli Bangalore,206,3,20,,,
30/04/23,T510,MR10 Indrore,192,3,22,,,
10/02/23,T538,Churachandpur,86,3,24,,,
16/09/23,T549,Gulbarga 2,230,3,26,,,
27/09/23,T559,Mumbai Malad,21,3,28,,,
22/03/23,T575,Tinsukia Assam,144,3,30,,,
25/03/23,T576,Gomti Nagar,183,3,32,,,
20/02/23,T580,New Silchar Assam,145,3,34,,,
12/04/23,T588,Nerchowk Mandi,277,3,36,,,
17/04/23,T611,Chala Vapi Gujrat,257,3,38,,,
18/04/23,T612,RT Nagar Bangalore,98,3,40,,,
23/06/23,T615,Bariatu Ranchi,125,3,42,,,
10/05/23,T643,Mokokchung,186,3,44,,,
26/04/23,T654,Majiwada Thane,131,3,46,,,
22/04/23,T658,Nolambur Chennai,158,3,48,,,
14/07/23,T674,Ashok Nagar,124,3,50,,,
18/05/23,T675,Bahadurgarh,120,3,52,,,
26/05/23,T684,Navsari Gujarat,167,3,54,,,
29/08/23,T707,Jharkhand Giridih,128,4,3,,,
19/07/23,T713,Jammu Sainik,172,4,5,,,
18/05/23,T722,Thaltez Ahmedabad,91,4,7,,,
31/07/23,T745,Nagpur Beltarodi,295,4,9,,,
23/08/23,T752,Sodepur West,119,4,11,,,
28/09/23,T765,Rourkela Civil,330,4,13,,,
29/05/24,T769,Bihar Hajipur Vaishali,71,4,15,,,
07/11/23,T774,Nalanda Biharsharif,104,4,17,,,
20/11/23,T789,Satara Maharashtra,62,4,19,,,
25/10/23,T795,Kharmanghat,52,4,21,,,
31/10/23,T802,Haridevpur SOUTH,114,4,23,,,
30/09/23,T805,Hyderabad Alwal,215,4,25,,,
28/09/23,T813,Berhampur,113,4,27,,,
31/08/23,T834,Bangalore,162,4,29,,,
24/08/23,T842,Mumbai Borivali,250,4,31,,,
27/09/23,T844,Dewas Jawahar,68,4,33,,,
21/10/23,T855,Barasat North,322,4,35,,,
31/10/23,T871,Jamshedpur Dimna,123,4,37,,,
15/10/23,T877,Bihar Jehanabad,360,4,39,,,
30/10/23,T881,Srinagar Lal Bazar,162,4,41,,,
21/01/24,T892,kolkata Baguihati,245,4,43,,,
29/11/23,T895,Dhanbad Govindpur,167,4,45,,,
30/11/23,T898,Angul Urban,323,4,47,,,
11/11/23,T899,Roorkee Civil Lines,351,4,49,,,
22/01/24,T911,Pune Kiwale,148,4,51,,,
28/10/23,T918,Goa Kadamba,126,4,53,,,
26/12/23,T932,Kangra HP,250,5,2,,,
17/11/23,T958,Siliguri Sevoke,168,5,4,,,
12/12/23,T968,Bihar Saharsa,369,5,6,,,
30/07/24,T975,Jamshedpur Sonari,137,5,8,,,
27/11/23,T977,Mumbai Miraroad,214,5,10,,,
27/04/24,T980,Cuttack Phulnakhra,81,5,12,,,
20/05/24,T997,Delhi Shastri Nagar,247,5,14,Valid,TRUE,Vishal Home
12/08/19,TS14,tumbledry Paschim,77,5,16,,,
29/12/20,TS69,Azamgarh,457,5,18,,,
19/01/21,TS80,Tumbledry Dhanbad,354,5,20,,,
05/02/21,TS85,Tumbledry Moshi,281,5,22,,,
05/09/25,A182,Pune NarheAmbeG,83,5,24,,,
05/10/25,A833,Ayodhya Nagar,102,5,26,,,
10/10/25,C002,BEED LOCATION,246,5,28,,,
30/05/25,A008,Mumbai Kandivali,115,5,30,,,
08/05/24,A058,Olavakode Palakkad,198,5,32,,,
02/05/24,A069,Kochi Eroor,1,5,34,,,
11/06/24,A086,Trivandrum,224,5,36,,,
25/06/24,A131,Chennai Perambur,119,5,38,,,
27/05/24,A147,Tamilnadu Vellore,212,5,40,,,
31/10/25,A148,Bangalore,172,5,42,,,
24/04/24,A156,Hyderabad,120,5,44,,,
29/06/24,A158,Kannur Thalassery,118,5,46,,,
09/04/24,A160,Manglore Mudabidre,262,5,48,,,
30/09/24,A166,Bokaro Chas,127,5,50,,,
04/01/25,A169,Kannur Bhartiya,150,5,52,,,
29/06/24,A196,Mangalore Padeel,217,5,54,,,
05/09/24,A203,Manipur Senapati,71,6,3,,,
24/06/24,A210,Bangalore,215,6,5,,,
13/08/24,A212,Varanasi Maldahiya,251,6,7,,,
29/06/24,A229,Bangalore,225,6,9,,,
21/06/24,A231,Tamilnadu,79,6,11,,,
23/07/24,A250,Mahbubnagar,98,6,13,,,
30/09/24,A261,Palani Tamil Nadu,73,6,15,,,
31/08/24,A273,Keeranatham,207,6,17,,,
24/06/24,A282,Firozabad UP,6,6,19,,,
08/11/24,A291,Mukundopur West,189,6,21,,,
21/12/24,A294,Kismatpur,64,6,23,,,
25/06/24,A299,Etah UP,206,6,25,,,
01/01/25,A301,Burdwan WB,152,6,27,,,
28/05/25,A320,Bhawanipatna,93,6,29,,,
30/09/24,A343,Bilaspur Telipara,152,6,31,,,
16/11/24,A363,Mauranipur,2,6,33,,,
29/07/24,A366,Lucknow Chowk,383,6,35,,,
25/11/24,A372,Vijayapura Karnataka,168,6,37,,,
22/01/25,A373,Srikakulam AP,90,6,39,,,
11/11/24,A375,Chikkamagaluru,137,6,41,,,
01/01/25,A379,Karur Tamil Nadu,211,6,43,,,
16/04/25,A380,Dhemaji Assam,115,6,45,,,
27/12/24,A388,Hatia Ranchi,116,6,47,,,
26/09/24,A391,Bagalkot Navanagar,3,6,49,,,
27/11/24,A396,"Nadapuram, Calicut",124,6,51,,,
18/12/24,A401,Masaurhi Patna,109,6,53,,,
28/12/24,A404,Vikas Nagar Dehu,124,7,2,,,
05/03/25,A406,Shreerampore,181,7,4,,,
28/10/24,A410,Moradabad Budhi,127,7,6,,,
27/08/24,A412,Paratwada Amaravati,24,7,8,,,
